seed,config,model,dataset,split,tokens_trained,loss,ppl,bits_per_byte
42,medium,native,tiny_shakespeare,train,2048000,1.587217926979065,4.890125300482581,2.289871432062758
42,medium,native,tiny_shakespeare,validation,2048000,1.7177767753601074,5.572126594171947,2.478228035166262
42,medium,native,tiny_shakespeare,test,2048000,1.802860140800476,6.066975075846389,2.6009773845492252
42,medium,param_matched,tiny_shakespeare,train,2048000,1.587217926979065,4.890125300482581,2.289871432062758
42,medium,param_matched,tiny_shakespeare,validation,2048000,1.7177767753601074,5.572126594171947,2.478228035166262
42,medium,param_matched,tiny_shakespeare,test,2048000,1.802860140800476,6.066975075846389,2.6009773845492252
42,medium,deepseekv4,tiny_shakespeare,train,2048000,1.492288589477539,4.447261837947278,2.152917347614432
42,medium,deepseekv4,tiny_shakespeare,validation,2048000,1.6285160779953003,5.09630658318272,2.3494520697317642
42,medium,deepseekv4,tiny_shakespeare,test,2048000,1.7151061296463013,5.557265271663077,2.4743751078389824
43,medium,native,tiny_shakespeare,train,2048000,1.5718263387680054,4.815434782917512,2.267666064079257
43,medium,native,tiny_shakespeare,validation,2048000,1.6988401412963867,5.467602066753332,2.450908247111403
43,medium,native,tiny_shakespeare,test,2048000,1.7784239053726196,5.920517764982716,2.5657233488794615
43,medium,param_matched,tiny_shakespeare,train,2048000,1.5718263387680054,4.815434782917512,2.267666064079257
43,medium,param_matched,tiny_shakespeare,validation,2048000,1.6988401412963867,5.467602066753332,2.450908247111403
43,medium,param_matched,tiny_shakespeare,test,2048000,1.7784239053726196,5.920517764982716,2.5657233488794615
43,medium,deepseekv4,tiny_shakespeare,train,2048000,1.4569189548492432,4.292713089537926,2.1018897511381347
43,medium,deepseekv4,tiny_shakespeare,validation,2048000,1.5850180387496948,4.879379395622453,2.2866976642237358
43,medium,deepseekv4,tiny_shakespeare,test,2048000,1.682809591293335,5.380652187631028,2.4277810521192777
44,medium,native,tiny_shakespeare,train,2048000,1.5895328521728516,4.901458687652,2.293211163159863
44,medium,native,tiny_shakespeare,validation,2048000,1.758518934249878,5.803835164259686,2.537006545751644
44,medium,native,tiny_shakespeare,test,2048000,1.8231080770492554,6.191070902908792,2.630188981763575
44,medium,param_matched,tiny_shakespeare,train,2048000,1.5895328521728516,4.901458687652,2.293211163159863
44,medium,param_matched,tiny_shakespeare,validation,2048000,1.758518934249878,5.803835164259686,2.537006545751644
44,medium,param_matched,tiny_shakespeare,test,2048000,1.8231080770492554,6.191070902908792,2.630188981763575
44,medium,deepseekv4,tiny_shakespeare,train,2048000,1.4545365571975708,4.282498312615819,2.0984526778606414
44,medium,deepseekv4,tiny_shakespeare,validation,2048000,1.6062777042388916,4.984223900033704,2.3173688781959583
44,medium,deepseekv4,tiny_shakespeare,test,2048000,1.6918911933898926,5.42973968902096,2.440883034427308
42,medium,native,wikitext2,train,2048000,1.7242573499679565,5.6083544381217925,2.487577528015117
42,medium,native,wikitext2,validation,2048000,1.7189027070999146,5.5784039616430245,2.479852411303661
42,medium,native,wikitext2,test,2048000,1.7395187616348267,5.694602302056537,2.509595090943875
42,medium,param_matched,wikitext2,train,2048000,1.7242573499679565,5.6083544381217925,2.487577528015117
42,medium,param_matched,wikitext2,validation,2048000,1.7189027070999146,5.5784039616430245,2.479852411303661
42,medium,param_matched,wikitext2,test,2048000,1.7395187616348267,5.694602302056537,2.509595090943875
42,medium,deepseekv4,wikitext2,train,2048000,1.622367024421692,5.065065271662662,2.340580860634959
42,medium,deepseekv4,wikitext2,validation,2048000,1.6218795776367188,5.062596923523367,2.339877623575581
42,medium,deepseekv4,wikitext2,test,2048000,1.6458868980407715,5.185606972747188,2.37451286566754
43,medium,native,wikitext2,train,2048000,1.7221177816390991,5.596367808268433,2.484490783397431
43,medium,native,wikitext2,validation,2048000,1.722772240638733,5.600031600315883,2.485434968150668
43,medium,native,wikitext2,test,2048000,1.7376326322555542,5.6838716682144,2.506873981441924
43,medium,param_matched,wikitext2,train,2048000,1.7221177816390991,5.596367808268433,2.484490783397431
43,medium,param_matched,wikitext2,validation,2048000,1.722772240638733,5.600031600315883,2.485434968150668
43,medium,param_matched,wikitext2,test,2048000,1.7376326322555542,5.6838716682144,2.506873981441924
43,medium,deepseekv4,wikitext2,train,2048000,1.6417617797851562,5.164259790853694,2.3685615780170832
43,medium,deepseekv4,wikitext2,validation,2048000,1.6462963819503784,5.187730830177118,2.375103626073254
43,medium,deepseekv4,wikitext2,test,2048000,1.6615078449249268,5.267247051393349,2.3970491282713007
44,medium,native,wikitext2,train,2048000,1.7163617610931396,5.564247531351659,2.4761866011005202
44,medium,native,wikitext2,validation,2048000,1.7116596698760986,5.538145347422468,2.4694029174198877
44,medium,native,wikitext2,test,2048000,1.7310311794281006,5.646473434671925,2.4973500981850942
44,medium,param_matched,wikitext2,train,2048000,1.7163617610931396,5.564247531351659,2.4761866011005202
44,medium,param_matched,wikitext2,validation,2048000,1.7116596698760986,5.538145347422468,2.4694029174198877
44,medium,param_matched,wikitext2,test,2048000,1.7310311794281006,5.646473434671925,2.4973500981850942
44,medium,deepseekv4,wikitext2,train,2048000,1.6472262144088745,5.19255679401016,2.376445090749984
44,medium,deepseekv4,wikitext2,validation,2048000,1.6459661722183228,5.186018073769689,2.374627234130364
44,medium,deepseekv4,wikitext2,test,2048000,1.6639447212219238,5.280098333015469,2.4005647976202384
